"Path","Extension","Lines"
"src\scripts\symbol-rain.helpers.pool.js",".js","43"
"src\scripts\symbol-rain.helpers.spatial.js",".js","130"
"src\scripts\symbol-rain.helpers.spawn.js",".js","85"
"src\scripts\symbol-rain.helpers.utils.js",".js","38"
"src\scripts\symbol-rain.interactions.js",".js","63"
"src\scripts\symbol-rain.spawn.js",".js","120"
"src\scripts\symbol-validator.js",".js","226"
"src\scripts\ui-boundary-manager.core.js",".js","256"
"src\scripts\ui-boundary-manager.debug.js",".js","111"
"src\scripts\ui-boundary-manager.js",".js","20"
"src\scripts\ui-boundary-manager.monitoring.js",".js","65"
"src\scripts\ui-boundary-manager.positioning.js",".js","218"
"src\scripts\utils-achievements.definitions.js",".js","68"
"src\scripts\utils-achievements.js",".js","170"
"src\scripts\utils-achievements.ui.js",".js","58"
"src\scripts\utils-combo.js",".js","190"
"src\scripts\utils-combo.ui.js",".js","71"
"src\scripts\utils-core.js",".js","59"
"src\scripts\utils-dom.js",".js","25"
"src\scripts\utils-logging.js",".js","95"
"src\scripts\utils-resource-manager.js",".js","88"
"src\scripts\utils.js",".js","4"
"src\scripts\ux-enhancements.js",".js","30"
"src\scripts\ux-lazy-accessibility.js",".js","101"
"src\scripts\ux-loading.js",".js","80"
"src\scripts\ux-ripple.js",".js","36"
"src\scripts\ux-toast.js",".js","94"
"src\scripts\worm-aggression.js",".js","32"
"src\scripts\worm-behavior.js",".js","42"
"src\scripts\worm-behavior.rush.js",".js","117"
"src\scripts\worm-behavior.steal.js",".js","123"
"src\scripts\worm-behavior.targeting.js",".js","123"
"src\scripts\worm-behavior.utils.js",".js","63"
"src\scripts\worm-constants.js",".js","132"
"src\scripts\worm-cursor-tracker.js",".js","81"
"src\scripts\worm-evasion.js",".js","61"
"src\scripts\worm-factory.js",".js","238"
"src\scripts\worm-movement-behaviors.js",".js","208"
"src\scripts\worm-movement-core.js",".js","89"
"src\scripts\worm-movement-navigation.js",".js","152"
"src\scripts\worm-movement.js",".js","232"
"src\scripts\worm-near-miss-ui.js",".js","42"
"src\scripts\worm-obstacle-map.js",".js","45"
"src\scripts\worm-pathfinding.js",".js","149"
"src\scripts\worm-powerups.core.js",".js","127"
"src\scripts\worm-powerups.effects.chain.js",".js","245"
"src\scripts\worm-powerups.effects.devil.js",".js","89"
"src\scripts\worm-powerups.effects.js",".js","40"
"src\scripts\worm-powerups.effects.spider.js",".js","117"
"src\scripts\worm-powerups.js",".js","59"
"src\scripts\worm-powerups.selection.js",".js","129"
"src\scripts\worm-powerups.ui.draggable.js",".js","88"
"src\scripts\worm-powerups.ui.js",".js","188"
"src\scripts\worm-renderer.js",".js","214"
"src\scripts\worm-spawn-manager.coordinator.core.js",".js","32"
"src\scripts\worm-spawn-manager.coordinator.spawners.js",".js","148"
"src\scripts\worm-spawn-manager.js",".js","21"
"src\scripts\worm-spawn-manager.queue.js",".js","77"
"src\scripts\worm-system.behavior.js",".js","218"
"src\scripts\worm-system.cache.js",".js","53"
"src\scripts\worm-system.cleanup.js",".js","78"
"src\scripts\worm-system.effects.js",".js","222"
"src\scripts\worm-system.events.js",".js","154"
"src\scripts\worm-system.gameover.js",".js","119"
"src\scripts\worm-system.interactions.js",".js","179"
"src\scripts\worm-system.movement.js",".js","36"
"src\scripts\worm-system.powerups.effects.js",".js","296"
"src\scripts\worm-system.powerups.js",".js","215"
"src\scripts\worm-system.spawn.js",".js","257"
"src\scripts\worm.js",".js","290"
"src\styles\css\console.css",".css","382"
"src\styles\css\game-animations.css",".css","331"
"src\styles\css\game-effects.css",".css","123"
"src\styles\css\game-modals.css",".css","175"
"src\styles\css\game-responsive.css",".css","221"
"src\styles\css\game.css",".css","198"
"src\styles\css\index.css",".css","324"
"src\styles\css\level-select.css",".css","240"
"src\styles\css\level-select.details.css",".css","310"
"src\styles\css\lock-responsive.css",".css","117"
"src\styles\css\lod-animations.css",".css","248"
"src\styles\css\modern-ux-enhancements.css",".css","428"
"src\styles\css\score-timer.css",".css","151"
"src\styles\css\worm-base.css",".css","281"
"src\styles\css\worm-effects.css",".css","441"
"src\styles\css\lock-components\Line-1-transformer.css",".css","331"
"src\styles\css\lock-components\line-2-transformer.css",".css","419"
"src\styles\css\lock-components\line-3-transformer.css",".css","353"
"src\styles\css\lock-components\line-3-transformer.effects.css",".css","268"
"src\styles\css\lock-components\line-4-transformer.css",".css","387"
"src\styles\css\lock-components\Line-5-transformer.css",".css","387"
"src\styles\css\lock-components\line-6-transformer.css",".css","306"
"src\styles\css\lock-components\line-6-transformer.effects.css",".css","374"
"src\tools\middle-screen\solver.js",".js","11"
"src\tools\scripts\verify.js",".js","257"
"src\types\types\global.d.ts",".ts","30"
"tests\global-setup.js",".js","49"
"tests\lock-components.spec.js",".js","49"
"tests\managers.spec.js",".js","174"
"tests\performance-bench.spec.js",".js","28"
"tests\powerups.spec.js",".js","289"
"tests\timer.spec.js",".js","69"
"tests\ui-boundary.spec.js",".js","207"
"tests\worm-behavior.spec.js",".js","68"
"tests\worm-cursor-evasion.spec.js",".js","56"
"tests\integration\worm-movement-behaviors.spec.js",".js","475"
"tests\integration\worm-movement-navigation.spec.js",".js","514"
"tests\integration\worm-movement-system.spec.js",".js","563"
"tests\mocks\dom-mock.js",".js","157"
"tests\mocks\evasion-mock.js",".js","41"
"tests\mocks\movement-mock.js",".js","107"
"tests\mocks\worm-mock.js",".js","129"
"tests\performance\worm-movement-bench.spec.js",".js","333"
"tests\unit\worm-evasion.spec.js",".js","299"
"tests\unit\worm-movement.spec.js",".js","425"
"tests\unit\worm-near-miss-ui.spec.js",".js","60"
"tests\utils\index.js",".js","4"
"tests\utils\test-data-generators.js",".js","239"
